1.4305 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
21.9703 	EXP 	SCProbe: texRes = 128
21.9784 	EXP 	PCProbe: texRes = 128.0
21.9784 	EXP 	SCProbe: texRes = 128
21.9862 	EXP 	PCProbe: texRes = 128.0
21.9862 	EXP 	SCProbe: texRes = 128
21.9944 	EXP 	PCProbe: texRes = 128.0
21.9944 	EXP 	SCProbe: texRes = 128
22.0025 	EXP 	PCProbe: texRes = 128.0
22.0025 	EXP 	SCProbe: texRes = 128
22.0107 	EXP 	PCProbe: texRes = 128.0
22.0107 	EXP 	SCProbe: texRes = 128
22.0193 	EXP 	PCProbe: texRes = 128.0
22.0193 	EXP 	SCProbe: texRes = 128
22.0273 	EXP 	PCProbe: texRes = 128.0
22.0273 	EXP 	SCProbe: texRes = 128
22.0353 	EXP 	PCProbe: texRes = 128.0
22.0353 	EXP 	SCProbe: texRes = 128
22.0432 	EXP 	PCProbe: texRes = 128.0
22.0432 	EXP 	SCProbe: texRes = 128
22.0557 	EXP 	PCProbe: texRes = 128.0
22.0557 	EXP 	SCProbe: texRes = 128
22.0635 	EXP 	PCProbe: texRes = 128.0
22.0635 	EXP 	SCProbe: texRes = 128
22.0711 	EXP 	PCProbe: texRes = 128.0
22.0711 	EXP 	SCProbe: texRes = 128
22.0788 	EXP 	PCProbe: texRes = 128.0
22.0788 	EXP 	SCProbe: texRes = 128
22.0864 	EXP 	PCProbe: texRes = 128.0
22.0864 	EXP 	SCProbe: texRes = 128
22.0942 	EXP 	PCProbe: texRes = 128.0
22.0942 	EXP 	SCProbe: texRes = 128
22.1020 	EXP 	PCProbe: texRes = 128.0
22.1020 	EXP 	SCProbe: texRes = 128
22.1098 	EXP 	PCProbe: texRes = 128.0
22.1098 	EXP 	SCProbe: texRes = 128
22.1176 	EXP 	PCProbe: texRes = 128.0
22.1176 	EXP 	SCProbe: texRes = 128
22.1253 	EXP 	PCProbe: texRes = 128.0
22.1253 	EXP 	SCProbe: texRes = 128
22.1329 	EXP 	PCProbe: texRes = 128.0
22.1329 	EXP 	SCProbe: texRes = 128
22.1408 	EXP 	PCProbe: texRes = 128.0
22.1408 	EXP 	SCProbe: texRes = 128
22.1485 	EXP 	PCProbe: texRes = 128.0
22.1485 	EXP 	SCProbe: texRes = 128
22.1563 	EXP 	PCProbe: texRes = 128.0
22.1563 	EXP 	SCProbe: texRes = 128
22.1641 	EXP 	PCProbe: texRes = 128.0
22.1641 	EXP 	SCProbe: texRes = 128
22.1716 	EXP 	PCProbe: texRes = 128.0
22.1716 	EXP 	SCProbe: texRes = 128
22.1792 	EXP 	PCProbe: texRes = 128.0
22.1792 	EXP 	SCProbe: texRes = 128
22.1868 	EXP 	PCProbe: texRes = 128.0
22.1868 	EXP 	SCProbe: texRes = 128
22.1945 	EXP 	PCProbe: texRes = 128.0
22.1945 	EXP 	SCProbe: texRes = 128
22.2021 	EXP 	PCProbe: texRes = 128.0
22.2021 	EXP 	SCProbe: texRes = 128
22.2099 	EXP 	PCProbe: texRes = 128.0
22.2099 	EXP 	SCProbe: texRes = 128
22.2177 	EXP 	PCProbe: texRes = 128.0
22.2177 	EXP 	SCProbe: texRes = 128
22.2255 	EXP 	PCProbe: texRes = 128.0
22.2255 	EXP 	SCProbe: texRes = 128
22.2332 	EXP 	PCProbe: texRes = 128.0
22.2332 	EXP 	SCProbe: texRes = 128
22.2411 	EXP 	PCProbe: texRes = 128.0
22.2411 	EXP 	SCProbe: texRes = 128
22.2489 	EXP 	PCProbe: texRes = 128.0
22.2489 	EXP 	SCProbe: texRes = 128
22.2570 	EXP 	PCProbe: texRes = 128.0
22.2570 	EXP 	SCProbe: texRes = 128
22.2652 	EXP 	PCProbe: texRes = 128.0
22.2652 	EXP 	SCProbe: texRes = 128
22.2736 	EXP 	PCProbe: texRes = 128.0
22.2736 	EXP 	SCProbe: texRes = 128
22.2820 	EXP 	PCProbe: texRes = 128.0
22.2820 	EXP 	SCProbe: texRes = 128
22.2907 	EXP 	PCProbe: texRes = 128.0
22.2907 	EXP 	SCProbe: texRes = 128
22.2995 	EXP 	PCProbe: texRes = 128.0
22.2995 	EXP 	SCProbe: texRes = 128
22.3135 	EXP 	PCProbe: texRes = 128.0
22.3135 	EXP 	SCProbe: texRes = 128
22.3211 	EXP 	PCProbe: texRes = 128.0
22.3211 	EXP 	SCProbe: texRes = 128
22.3286 	EXP 	PCProbe: texRes = 128.0
22.3286 	EXP 	SCProbe: texRes = 128
22.3362 	EXP 	PCProbe: texRes = 128.0
22.3362 	EXP 	SCProbe: texRes = 128
22.3437 	EXP 	PCProbe: texRes = 128.0
22.3437 	EXP 	SCProbe: texRes = 128
22.3512 	EXP 	PCProbe: texRes = 128.0
22.3512 	EXP 	SCProbe: texRes = 128
22.3588 	EXP 	PCProbe: texRes = 128.0
22.3588 	EXP 	SCProbe: texRes = 128
22.3666 	EXP 	PCProbe: texRes = 128.0
22.3666 	EXP 	SCProbe: texRes = 128
22.3742 	EXP 	PCProbe: texRes = 128.0
22.3742 	EXP 	SCProbe: texRes = 128
22.3819 	EXP 	PCProbe: texRes = 128.0
22.3819 	EXP 	SCProbe: texRes = 128
22.3894 	EXP 	PCProbe: texRes = 128.0
22.3894 	EXP 	SCProbe: texRes = 128
22.3970 	EXP 	PCProbe: texRes = 128.0
22.3970 	EXP 	SCProbe: texRes = 128
22.4046 	EXP 	PCProbe: texRes = 128.0
22.4046 	EXP 	SCProbe: texRes = 128
22.4124 	EXP 	PCProbe: texRes = 128.0
22.4124 	EXP 	SCProbe: texRes = 128
22.4201 	EXP 	PCProbe: texRes = 128.0
22.4201 	EXP 	SCProbe: texRes = 128
22.4282 	EXP 	PCProbe: texRes = 128.0
22.4282 	EXP 	SCProbe: texRes = 128
22.4365 	EXP 	PCProbe: texRes = 128.0
22.4365 	EXP 	SCProbe: texRes = 128
22.4448 	EXP 	PCProbe: texRes = 128.0
22.4448 	EXP 	SCProbe: texRes = 128
22.4525 	DATA 	Keypress: space
22.4535 	EXP 	PCProbe: texRes = 128.0
22.4535 	EXP 	SCProbe: texRes = 128
22.4618 	EXP 	PCProbe: texRes = 128.0
22.4618 	EXP 	SCProbe: texRes = 128
22.4695 	EXP 	New trial (rep=0, index=1): OrderedDict([('ChPage', 'images/21.2.png')])
22.4916 	EXP 	PCProbe: texRes = 128.0
22.4916 	EXP 	SCProbe: texRes = 128
22.4916 	EXP 	imagePages: autoDraw = False
22.4916 	EXP 	PCProbe: autoDraw = False
22.4916 	EXP 	SCProbe: autoDraw = False
22.4916 	EXP 	imagePages: image = 'images/21.2.png'
22.4916 	EXP 	imagePages: autoDraw = True
22.4916 	EXP 	PCProbe: autoDraw = True
22.4916 	EXP 	PCProbe: texRes = 128.0
22.4916 	EXP 	SCProbe: autoDraw = True
22.4916 	EXP 	SCProbe: texRes = 128
22.4996 	EXP 	PCProbe: texRes = 128.0
22.4996 	EXP 	SCProbe: texRes = 128
22.5078 	EXP 	PCProbe: texRes = 128.0
22.5078 	EXP 	SCProbe: texRes = 128
22.5158 	EXP 	PCProbe: texRes = 128.0
22.5158 	EXP 	SCProbe: texRes = 128
22.5243 	EXP 	PCProbe: texRes = 128.0
22.5243 	EXP 	SCProbe: texRes = 128
22.5325 	EXP 	PCProbe: texRes = 128.0
22.5325 	EXP 	SCProbe: texRes = 128
22.5411 	EXP 	PCProbe: texRes = 128.0
22.5411 	EXP 	SCProbe: texRes = 128
22.5496 	EXP 	PCProbe: texRes = 128.0
22.5496 	EXP 	SCProbe: texRes = 128
22.5587 	EXP 	PCProbe: texRes = 128.0
22.5587 	EXP 	SCProbe: texRes = 128
22.5719 	EXP 	PCProbe: texRes = 128.0
22.5719 	EXP 	SCProbe: texRes = 128
22.5799 	EXP 	PCProbe: texRes = 128.0
22.5799 	EXP 	SCProbe: texRes = 128
22.5879 	EXP 	PCProbe: texRes = 128.0
22.5879 	EXP 	SCProbe: texRes = 128
22.5958 	EXP 	PCProbe: texRes = 128.0
22.5958 	EXP 	SCProbe: texRes = 128
22.6038 	EXP 	PCProbe: texRes = 128.0
22.6038 	EXP 	SCProbe: texRes = 128
22.6119 	EXP 	PCProbe: texRes = 128.0
22.6119 	EXP 	SCProbe: texRes = 128
22.6198 	EXP 	PCProbe: texRes = 128.0
22.6198 	EXP 	SCProbe: texRes = 128
22.6279 	EXP 	PCProbe: texRes = 128.0
22.6279 	EXP 	SCProbe: texRes = 128
22.6358 	EXP 	PCProbe: texRes = 128.0
22.6358 	EXP 	SCProbe: texRes = 128
22.6432 	EXP 	PCProbe: texRes = 128.0
22.6432 	EXP 	SCProbe: texRes = 128
22.6509 	EXP 	PCProbe: texRes = 128.0
22.6509 	EXP 	SCProbe: texRes = 128
22.6583 	EXP 	PCProbe: texRes = 128.0
22.6583 	EXP 	SCProbe: texRes = 128
22.6660 	EXP 	PCProbe: texRes = 128.0
22.6660 	EXP 	SCProbe: texRes = 128
22.6736 	EXP 	PCProbe: texRes = 128.0
22.6736 	EXP 	SCProbe: texRes = 128
22.6814 	EXP 	PCProbe: texRes = 128.0
22.6814 	EXP 	SCProbe: texRes = 128
22.6889 	EXP 	PCProbe: texRes = 128.0
22.6889 	EXP 	SCProbe: texRes = 128
22.6967 	EXP 	PCProbe: texRes = 128.0
22.6967 	EXP 	SCProbe: texRes = 128
22.7044 	EXP 	PCProbe: texRes = 128.0
22.7044 	EXP 	SCProbe: texRes = 128
22.7122 	EXP 	PCProbe: texRes = 128.0
22.7122 	EXP 	SCProbe: texRes = 128
22.7199 	EXP 	PCProbe: texRes = 128.0
22.7199 	EXP 	SCProbe: texRes = 128
22.7278 	EXP 	PCProbe: texRes = 128.0
22.7278 	EXP 	SCProbe: texRes = 128
22.7354 	EXP 	PCProbe: texRes = 128.0
22.7354 	EXP 	SCProbe: texRes = 128
22.7433 	EXP 	PCProbe: texRes = 128.0
22.7433 	EXP 	SCProbe: texRes = 128
22.7510 	EXP 	PCProbe: texRes = 128.0
22.7510 	EXP 	SCProbe: texRes = 128
22.7584 	EXP 	PCProbe: texRes = 128.0
22.7584 	EXP 	SCProbe: texRes = 128
22.7660 	EXP 	PCProbe: texRes = 128.0
22.7660 	EXP 	SCProbe: texRes = 128
22.7740 	EXP 	PCProbe: texRes = 128.0
22.7740 	EXP 	SCProbe: texRes = 128
22.7821 	EXP 	PCProbe: texRes = 128.0
22.7821 	EXP 	SCProbe: texRes = 128
22.7904 	EXP 	PCProbe: texRes = 128.0
22.7904 	EXP 	SCProbe: texRes = 128
22.7988 	EXP 	PCProbe: texRes = 128.0
22.7988 	EXP 	SCProbe: texRes = 128
22.8075 	EXP 	PCProbe: texRes = 128.0
22.8075 	EXP 	SCProbe: texRes = 128
22.8163 	EXP 	PCProbe: texRes = 128.0
22.8163 	EXP 	SCProbe: texRes = 128
22.8291 	EXP 	PCProbe: texRes = 128.0
22.8291 	EXP 	SCProbe: texRes = 128
22.8368 	EXP 	PCProbe: texRes = 128.0
22.8368 	EXP 	SCProbe: texRes = 128
22.8444 	EXP 	PCProbe: texRes = 128.0
22.8444 	EXP 	SCProbe: texRes = 128
22.8520 	EXP 	PCProbe: texRes = 128.0
22.8520 	EXP 	SCProbe: texRes = 128
22.8597 	EXP 	PCProbe: texRes = 128.0
22.8597 	EXP 	SCProbe: texRes = 128
22.8674 	EXP 	PCProbe: texRes = 128.0
22.8674 	EXP 	SCProbe: texRes = 128
22.8752 	EXP 	PCProbe: texRes = 128.0
22.8752 	EXP 	SCProbe: texRes = 128
22.8829 	EXP 	PCProbe: texRes = 128.0
22.8829 	EXP 	SCProbe: texRes = 128
22.8905 	EXP 	PCProbe: texRes = 128.0
22.8905 	EXP 	SCProbe: texRes = 128
22.8983 	EXP 	PCProbe: texRes = 128.0
22.8983 	EXP 	SCProbe: texRes = 128
22.9062 	EXP 	PCProbe: texRes = 128.0
22.9062 	EXP 	SCProbe: texRes = 128
22.9137 	EXP 	PCProbe: texRes = 128.0
22.9137 	EXP 	SCProbe: texRes = 128
22.9214 	EXP 	PCProbe: texRes = 128.0
22.9214 	EXP 	SCProbe: texRes = 128
22.9299 	EXP 	PCProbe: texRes = 128.0
22.9299 	EXP 	SCProbe: texRes = 128
22.9378 	EXP 	PCProbe: texRes = 128.0
22.9378 	EXP 	SCProbe: texRes = 128
22.9454 	EXP 	PCProbe: texRes = 128.0
22.9454 	EXP 	SCProbe: texRes = 128
22.9532 	EXP 	PCProbe: texRes = 128.0
22.9532 	EXP 	SCProbe: texRes = 128
22.9609 	EXP 	PCProbe: texRes = 128.0
22.9609 	EXP 	SCProbe: texRes = 128
22.9686 	EXP 	PCProbe: texRes = 128.0
22.9686 	EXP 	SCProbe: texRes = 128
22.9758 	DATA 	Keypress: space
22.9767 	EXP 	PCProbe: texRes = 128.0
22.9767 	EXP 	SCProbe: texRes = 128
22.9851 	EXP 	PCProbe: texRes = 128.0
22.9851 	EXP 	SCProbe: texRes = 128
22.9922 	EXP 	New trial (rep=0, index=2): OrderedDict([('ChPage', 'images/21.3.png')])
23.0130 	EXP 	PCProbe: texRes = 128.0
23.0130 	EXP 	SCProbe: texRes = 128
23.0130 	EXP 	imagePages: autoDraw = False
23.0130 	EXP 	PCProbe: autoDraw = False
23.0130 	EXP 	SCProbe: autoDraw = False
23.0130 	EXP 	imagePages: image = 'images/21.3.png'
23.0130 	EXP 	imagePages: autoDraw = True
23.0130 	EXP 	PCProbe: autoDraw = True
